procs|alg|input|items|utc|ts|duration
2|quicksort_random|interleaved|1000|13 Jun 2019  4:09:46.686783|1560398986686801|0.056000
2|quicksort_random|interleaved|10000|13 Jun 2019  4:09:46.743327|1560398986743360|4.889000
2|quicksort_random|bucketed|10|13 Jun 2019  4:09:51.634746|1560398991634769|0.000000
2|quicksort_random|bucketed|100|13 Jun 2019  4:09:51.634880|1560398991634898|0.000000
2|quicksort_random|bucketed|1000|13 Jun 2019  4:09:51.635521|1560398991635544|0.047000
2|quicksort_random|bucketed|10000|13 Jun 2019  4:09:51.682827|1560398991682859|4.706000
2|heapsort|constant|10|13 Jun 2019  4:09:56.392435|1560398996392456|0.000000
2|heapsort|constant|100|13 Jun 2019  4:09:56.392552|1560398996392568|0.000000
2|heapsort|constant|1000|13 Jun 2019  4:09:56.393243|1560398996393262|0.044000
2|heapsort|constant|10000|13 Jun 2019  4:09:56.437573|1560398996437628|4.209000
2|heapsort|sorted|10|13 Jun 2019  4:10:00.647112|1560399000647133|0.000000
2|heapsort|sorted|100|13 Jun 2019  4:10:00.647238|1560399000647253|0.002000
2|heapsort|sorted|1000|13 Jun 2019  4:10:00.648942|1560399000648970|0.059000
2|heapsort|sorted|10000|13 Jun 2019  4:10:00.708520|1560399000708542|4.741000
2|heapsort|reversed|10|13 Jun 2019  4:10:05.449429|1560399005449461|0.001000
2|heapsort|reversed|100|13 Jun 2019  4:10:05.449619|1560399005449643|0.001000
2|heapsort|reversed|1000|13 Jun 2019  4:10:05.451059|1560399005451084|0.064000
2|heapsort|reversed|10000|13 Jun 2019  4:10:05.515778|1560399005515814|4.845000
2|heapsort|random|10|13 Jun 2019  4:10:10.361962|1560399010362001|0.000000
2|heapsort|random|100|13 Jun 2019  4:10:10.362208|1560399010362244|0.002000
2|heapsort|random|1000|13 Jun 2019  4:10:10.364185|1560399010364239|0.056000
2|heapsort|random|10000|13 Jun 2019  4:10:10.420898|1560399010420931|4.752000
2|heapsort|interleaved|8|13 Jun 2019  4:10:15.181402|1560399015181446|0.001000
2|heapsort|interleaved|100|13 Jun 2019  4:10:15.181664|1560399015181693|0.002000
2|heapsort|interleaved|1000|13 Jun 2019  4:10:15.183698|1560399015183733|0.069000
2|heapsort|interleaved|10000|13 Jun 2019  4:10:15.253813|1560399015253839|7.931000
2|heapsort|bucketed|10|13 Jun 2019  4:10:23.189232|1560399023189274|0.000000
